Date,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SUNPHARMA.NS
2021-03-30,723.8414306640625,1193.6773681640625,164.1873321533203,1337.80029296875,915.9132080078125,567.4041137695312
2021-03-31,695.8652954101562,1178.8133544921875,167.2101593017578,1333.4302978515625,904.0879516601562,567.4990234375
2021-04-01,692.650634765625,1193.5909423828125,168.39630126953125,1357.582275390625,912.5507202148438,579.7926025390625
2021-04-05,675.3430786132812,1214.87451171875,162.65679931640625,1319.239990234375,899.3489379882812,577.9415283203125
2021-04-06,670.987060546875,1215.865478515625,162.73338317871094,1316.6085205078125,895.6028442382812,589.0009765625
2021-04-07,674.2249145507812,1232.3663330078125,163.6134033203125,1319.5689697265625,903.9751586914062,589.570556640625
2021-04-08,667.516357421875,1240.681640625,163.1925048828125,1333.6651611328125,905.1035766601562,583.115234375
2021-04-09,662.3682861328125,1241.7156982421875,163.07769775390625,1319.5218505859375,894.5872802734375,604.4747314453125
2021-04-12,636.8844604492188,1228.5318603515625,157.10865783691406,1264.122802734375,862.5868530273438,587.9567260742188
2021-04-13,652.3982543945312,1203.88818359375,159.71055603027344,1290.953125,871.9072265625,595.5512084960938
2021-04-15,666.2583618164062,1172.5230712890625,158.18002319335938,1291.8458251953125,877.5489501953125,601.152099609375
2021-04-16,665.5828857421875,1166.491455078125,159.1365966796875,1277.279541015625,872.0425415039062,613.3034057617188
2021-04-19,658.0123291015625,1174.0743408203125,157.33824157714844,1231.512939453125,858.3217163085938,608.177001953125
2021-04-20,648.2286987304688,1164.423583984375,155.76943969726562,1251.2950439453125,858.0734252929688,612.4489135742188
2021-04-22,662.7176513671875,1164.2078857421875,157.56781005859375,1256.27587890625,860.4429931640625,607.5125732421875
2021-04-23,658.82763671875,1149.301025390625,157.1469268798828,1243.2130126953125,859.517822265625,605.6138305664062
2021-04-26,654.4716186523438,1157.7025146484375,157.10865783691406,1255.4298095703125,874.6377563476562,602.5286254882812
2021-04-27,670.2649536132812,1161.967529296875,157.1851806640625,1297.4842529296875,897.5661010742188,606.8480224609375
2021-04-28,688.01513671875,1168.43017578125,157.26170349121094,1293.0205078125,901.47021484375,610.7876586914062
2021-04-29,686.0118408203125,1168.7318115234375,156.3433837890625,1276.8095703125,913.543701171875,611.8319702148438
2021-04-30,657.9656982421875,1167.008544921875,155.0424346923828,1259.7059326171875,900.2064819335938,621.277587890625
2021-05-03,658.9674072265625,1165.0267333984375,153.77976989746094,1261.6324462890625,884.2062377929688,625.7868041992188
2021-05-04,646.8078002929688,1145.5096435546875,152.7466583251953,1257.027587890625,865.0466918945312,612.4489135742188
2021-05-05,653.446533203125,1155.9359130859375,154.1241455078125,1258.014404296875,866.6264038085938,648.76025390625
2021-05-06,652.6546020507812,1173.2554931640625,155.15724182128906,1259.189208984375,871.546142578125,644.9629516601562
2021-05-07,659.1071166992188,1165.4573974609375,157.1469268798828,1261.8204345703125,871.8846435546875,645.0104370117188
2021-05-10,661.4830932617188,1154.255859375,157.29995727539062,1310.9700927734375,869.379638671875,662.8101806640625
2021-05-11,653.8892822265625,1146.5867919921875,156.11380004882812,1300.2567138671875,872.5165405273438,672.2081909179688
2021-05-12,652.00244140625,1143.441650390625,155.53985595703125,1301.8543701171875,863.489501953125,667.224365234375
2021-05-14,646.1089477539062,1134.3077392578125,162.42723083496094,1330.235107421875,874.3895874023438,656.4021606445312
2021-05-17,670.987060546875,1145.5096435546875,162.695068359375,1303.2169189453125,884.79296875,652.3202514648438
2021-05-18,687.968505859375,1154.6434326171875,160.74366760253906,1331.9267578125,897.2501220703125,655.78515625
2021-05-19,679.3496704101562,1152.058349609375,158.98355102539062,1318.9110107421875,901.357421875,667.7464599609375
2021-05-20,667.516357421875,1154.040283203125,158.4095916748047,1324.83154296875,896.0993041992188,652.0352172851562
2021-05-21,697.565673828125,1167.1376953125,159.9783935546875,1332.631591796875,903.8397827148438,655.4053955078125
2021-05-24,703.458984375,1161.5799560546875,161.85330200195312,1356.3135986328125,896.2119750976562,655.9275512695312
2021-05-25,689.0166625976562,1173.2554931640625,161.3941192626953,1363.5498046875,886.0568237304688,660.81640625
2021-05-26,688.1316528320312,1203.97412109375,161.16455078125,1384.1776123046875,889.1710815429688,668.1261596679688
2021-05-27,690.740478515625,1208.2825927734375,161.58544921875,1393.5281982421875,891.9017333984375,664.0440673828125
2021-05-28,700.430908203125,1210.6954345703125,162.92465209960938,1389.0643310546875,945.4762573242188,635.8021240234375
2021-05-31,706.207763671875,1213.91796875,165.75613403320312,1379.2906494140625,975.039306640625,634.4255981445312
2021-06-01,704.2743530273438,1208.213134765625,164.72303771972656,1385.822265625,978.9208984375,637.0362548828125
2021-06-02,700.6870727539062,1200.76611328125,159.9401397705078,1382.4390869140625,993.5219116210938,643.1118774414062
2021-06-03,708.3974609375,1210.34716796875,159.9783935546875,1419.8416748046875,997.3131713867188,641.2607421875
2021-06-04,699.2661743164062,1206.863037109375,159.7488250732422,1444.933349609375,988.6699829101562,639.7891845703125
2021-06-07,698.753662109375,1210.34716796875,161.81504821777344,1463.963623046875,1005.3245849609375,641.1181640625
2021-06-08,690.9268798828125,1230.640625,163.4985809326172,1455.8345947265625,999.54736328125,644.3460083007812
2021-06-09,689.645751953125,1232.6875,162.61856079101562,1427.7825927734375,981.674072265625,638.7449340820312
2021-06-10,689.9951171875,1240.526123046875,164.80076599121094,1428.158447265625,985.284912109375,641.7827758789062
2021-06-11,692.4642944335938,1260.2103271484375,163.69842529296875,1412.8873291015625,1002.3753051757812,646.7666015625
2021-06-14,689.2496948242188,1273.1875,163.22598266601562,1424.4462890625,1016.7554321289062,642.7794799804688
2021-06-15,694.28125,1283.7265625,163.02914428710938,1419.79443359375,1019.0654296875,639.0772094726562
2021-06-16,691.6490478515625,1289.5618896484375,163.6590576171875,1401.0933837890625,1001.6732788085938,634.6629638671875
2021-06-17,683.0301513671875,1302.365234375,161.9268035888672,1397.9451904296875,1003.5075073242188,631.34033203125
2021-06-18,689.412841796875,1309.3331298828125,161.0606689453125,1387.0909423828125,1008.0367431640625,634.6153564453125
2021-06-21,693.55908203125,1306.72021484375,160.98194885253906,1378.679931640625,1013.29052734375,637.3209228515625
2021-06-22,691.2763061523438,1316.7799072265625,161.49371337890625,1408.893310546875,1008.0820922851562,633.0015258789062
2021-06-23,692.0682983398438,1309.2021484375,160.58824157714844,1390.14501953125,998.842529296875,631.5301513671875
2021-06-24,701.7353515625,1358.020263671875,160.0370635986328,1413.451416015625,975.3587646484375,631.1030883789062
2021-06-25,705.8584594726562,1371.0848388671875,161.45437622070312,1432.05859375,953.1431274414062,638.17529296875
2021-06-28,702.713623046875,1368.994873046875,160.31265258789062,1423.224609375,944.7867431640625,642.0201416015625
2021-06-29,702.8072509765625,1361.373779296875,160.07643127441406,1419.8885498046875,945.60205078125,643.2542724609375
2021-06-30,700.8656005859375,1376.83349609375,159.60398864746094,1410.162109375,955.951171875,641.2132568359375
2021-07-01,695.6483764648438,1359.0654296875,159.8402099609375,1402.4088134765625,950.1991577148438,649.47216796875
2021-07-02,692.67724609375,1365.5107421875,159.36776733398438,1396.15966796875,964.284912109375,646.71923828125
2021-07-05,699.7191162109375,1375.2220458984375,160.35202026367188,1417.1163330078125,973.8641357421875,645.722412109375
2021-07-06,718.0841674804688,1360.63330078125,159.446533203125,1414.8138427734375,962.3600463867188,639.1246948242188
2021-07-07,720.3301391601562,1362.7235107421875,160.43075561523438,1425.104248046875,955.679443359375,645.62744140625
2021-07-08,711.4165649414062,1359.3702392578125,159.05282592773438,1410.3028564453125,947.7760009765625,633.0964965820312
2021-07-09,702.7838134765625,1361.2427978515625,158.541015625,1409.26904296875,938.0835571289062,634.0458374023438
2021-07-12,695.7654418945312,1348.1348876953125,158.34417724609375,1410.3499755859375,943.9262084960938,634.6629638671875
2021-07-13,702.713623046875,1345.6090087890625,158.93472290039062,1422.4259033203125,950.9917602539062,648.3804931640625
2021-07-14,701.4503173828125,1373.4365234375,160.7063446044922,1451.6524658203125,944.7867431640625,651.1810302734375
2021-07-15,711.5335693359375,1376.83349609375,162.39923095703125,1512.4083251953125,943.1336059570312,648.3804931640625
2021-07-16,712.3056030273438,1354.754150390625,163.69842529296875,1521.2421875,956.7437744140625,653.6965942382812
